condition,position,frame,flow_u,flow_v,magnitude
RIF10,203,78,-0.20598096,-0.18162759,0.29708233
RIF10,203,80,0.7408811,3.7122357,1.9951944
RIF10,203,82,-1.0597348,-0.92583674,0.86736465
RIF10,203,84,-0.25503966,-0.22736703,0.34069368
RIF10,203,86,-0.1859312,-0.037105605,0.25934252
RIF10,203,88,1.8420053,0.6794745,0.89168334
RIF10,203,90,-0.3382258,0.10822861,0.275037
RIF10,203,92,0.18013746,-0.0049886606,0.36472628
RIF10,203,94,1.2548175,0.22797388,1.0341691
RIF10,203,96,-0.14242223,0.030291742,0.21328051
RIF10,203,98,0.8730292,0.51785594,0.5525286
RIF10,203,100,1.1721777,1.9594717,1.1857826
RIF10,203,102,2.4194417,-1.0600367,1.3849357
RIF10,203,104,-0.23127267,0.11688863,0.29687187
RIF10,203,106,-0.34102875,-0.07729058,0.32647967
RIF10,203,108,0.35963202,-0.51415926,0.41457787
RIF10,204,0,0.22496931,0.6519469,0.3570665
RIF10,204,2,-0.2404353,0.3355906,0.26916516
RIF10,204,4,-0.3311816,0.17505258,0.20240152
RIF10,204,6,-1.4400392,0.8424589,0.60185677
RIF10,204,8,-0.5331478,-1.6094033,0.51155317
RIF10,204,10,-0.32388324,-0.21605478,0.23295029
RIF10,204,12,0.04158939,0.7159201,0.407821
RIF10,204,14,0.16772589,0.081973426,0.2462433
RIF10,204,16,-0.13476528,0.64536846,0.2496833
RIF10,204,18,-0.41577035,0.6511212,0.6194702
RIF10,204,20,-0.36600372,-0.10397893,0.25145224
RIF10,204,22,0.7618033,1.2836058,0.38005513
RIF10,204,24,0.20648408,0.7960872,0.4122093
RIF10,204,26,-0.19685216,0.20767243,0.18909433
RIF10,204,28,0.48628476,2.2740366,0.6701026
RIF10,204,30,-1.7446059,-4.3816705,2.2698767
RIF10,204,32,1.393729,1.8903657,1.3961631
RIF10,204,34,1.002954,1.9186739,0.5181943
RIF10,204,36,-0.15899572,0.2522898,0.37852353
