condition,position,frame,flow_u,flow_v,magnitude
REF,107,62,-0.9300767,5.919373,2.1599839
REF,107,64,-2.4410737,1.4552735,0.85595685
REF,107,66,0.5690995,0.13220346,1.0162293
REF,107,68,-1.8210593,1.2953609,0.8461388
REF,107,70,-2.1259668,4.5546308,2.9586344
REF,107,72,0.89906067,-1.9072357,1.023397
REF,107,74,-1.3279384,-0.5004466,0.69519264
REF,107,76,-0.47994497,-0.41352746,0.52888364
REF,107,78,-0.6371034,-0.64163774,1.151524
REF,107,80,-0.9938845,0.10129406,0.7498266
REF,107,82,-2.8902924,-2.6765752,1.8131903
REF,107,84,2.0435534,-5.8379707,3.506228
REF,107,86,-0.44633055,-1.4686432,1.5596815
REF,107,88,2.61609,-6.9804497,2.2983847
REF,107,90,-0.9357492,-0.85096896,0.80631316
REF,107,92,-1.5078326,-1.4328672,1.2879404
REF,107,94,-0.6210068,-0.5425392,0.6220084
REF,107,96,0.7048133,0.21024731,1.9605491
REF,107,98,2.79633,-2.9484813,1.2114555
REF,107,100,-1.1026214,1.1580772,1.3509982
REF,107,102,0.52522063,1.0030229,0.9500282
REF,107,104,-4.590477,0.43332693,1.5664197
REF,107,106,-0.81577665,-1.9212482,2.7460055
REF,107,108,0.27568966,-1.146007,1.5583364
REF,108,0,0.033560246,-0.47842222,0.20995277
REF,108,2,-1.2808638,3.7090175,0.35713398
REF,108,4,-5.78868,2.5665011,0.9738007
REF,108,6,-0.3584505,4.7774806,1.0870135
REF,108,8,-0.10052215,0.09371371,0.32240623
REF,108,10,0.8134035,4.519438,0.8501907
REF,108,12,-0.41103008,-0.05374346,0.2278792
REF,108,14,-1.4133687,1.6021025,0.44686285
REF,108,16,4.258935,0.29168552,1.2969306
REF,108,18,-0.1428242,0.66338354,0.26473483
REF,108,20,-0.41028097,0.31705067,0.23995121
REF,108,22,-0.23521861,0.24728975,0.2338766
REF,108,24,3.302781,2.700858,0.47214893
REF,108,26,0.76025516,2.7301183,0.5917641
REF,108,28,1.3100773,1.584243,0.46637654
REF,108,30,-0.19879413,-0.041273788,0.36295012
REF,108,32,-0.44813496,-0.038641848,0.27152848
REF,108,34,-0.8691006,-1.0745999,0.45852825
REF,108,36,-3.7535894,1.3183736,0.8822383
REF,108,38,-1.6963383,-0.02777295,0.6362158
REF,108,40,-3.5379505,1.1992291,0.7240099
REF,108,42,-0.8000252,1.4279523,0.6404817
REF,108,44,-8.214899,3.6581283,2.1334138
REF,108,46,6.375813,-3.8291235,1.4264988
REF,108,48,-0.7001305,-1.1863359,0.6634975
REF,108,50,-0.62791485,1.0906553,0.6807551
REF,108,52,-0.6666768,0.51565063,0.93572265
REF,108,54,1.2908238,-0.40032527,1.0779623
REF,108,56,0.04462747,0.55324346,0.71944875
REF,108,58,-0.0048153508,0.85623133,0.59407616
REF,108,60,3.9314036,0.04459609,1.633877
REF,108,62,0.4847892,-1.0703818,0.589033
REF,108,64,0.16904105,-0.30945042,0.8213462
REF,108,66,1.6914059,0.58961135,1.1786449
REF,108,68,5.8276153,-3.4378157,1.6966475
REF,108,70,-5.790772,5.3601413,1.8286436
REF,108,72,-0.7377708,-2.1498604,1.864921
REF,108,74,-0.15179071,0.47787562,0.47612414
REF,108,76,-0.40693066,0.36835212,0.45861188
REF,108,78,-0.4134256,0.27824044,0.45964432
REF,108,80,-0.27297574,-0.16079018,0.61952454
REF,108,82,-1.4249526,2.929479,1.2242568
REF,108,84,-0.8761445,-1.300845,0.6871986
REF,108,86,-0.7640816,0.025533682,0.67287546
REF,108,88,-0.9629285,1.3749273,0.69034487
REF,108,90,0.5136626,-0.83218086,1.0852561
REF,108,92,-0.010876029,-0.015036399,0.68988365
